discipline,M,rho,T,h,k,mean_simulation_EW,std_simulation_EW,mean_theoretical_EW,mean_absolute_error,mean_relative_error,max_relative_error,mean_num_packets,num_runs
exhaustive,20,0.7,3.0,0.8,1,29.847804144767803,0.7634813049730602,29.23333333333333,0.6618648697723964,0.022640759513308833,0.0491650889215148,21064.666666666668,3
limited,5,0.1,3.0,0.8,1,2.4862812816176425,0.025141523640153617,2.5076335877862594,0.0263806054532945,0.0105201196784827,0.0152462379201015,3056.0,3
limited,5,0.2,3.0,0.8,1,3.223173662124175,0.027920432321393438,3.1875,0.035673662124175366,0.011191737136996166,0.0182394889354598,6047.666666666667,3
limited,5,0.3,3.0,0.8,1,4.257599494364791,0.08971444048350789,4.14516129032258,0.11243820404221128,0.0271251698467591,0.0510111478351538,9082.666666666666,3
limited,5,0.4,3.0,0.8,1,5.771550020268349,0.09112170906773615,5.594594594594594,0.1769554256737544,0.03162971376777247,0.0501462002346477,12116.333333333334,3
limited,5,0.5,3.0,0.8,1,8.22111521998258,0.05776475533536748,8.045454545454545,0.1756606745280369,0.0218335301673266,0.0288298567402059,15088.666666666666,3
limited,5,0.6,3.0,0.8,1,13.356654224267546,0.3630288646200481,13.083333333333329,0.2733208909342188,0.020890768733825598,0.052831719946082,18061.333333333332,3
limited,5,0.7,3.0,0.8,1,30.777884081918,2.6308211296806663,29.382352941176453,1.694581524136485,0.05767344526590637,0.1500288244121134,21066.333333333332,3
limited,10,0.1,3.0,0.8,1,4.773269304061022,0.03623397912683394,4.797709923664123,0.0352038587860041,0.007337638028586334,0.011158999949233,3057.0,3
limited,10,0.2,3.0,0.8,1,5.885002822458599,0.11882034927625405,5.866071428571428,0.08427803478255813,0.014367031804636965,0.0237870371419689,6048.333333333333,3
limited,10,0.3,3.0,0.8,1,7.462013794491617,0.13757898899499874,7.370967741935483,0.09104605255613346,0.012351980871948068,0.0338359376239757,9081.666666666666,3
limited,10,0.4,3.0,0.8,1,9.863760236150963,0.0940451137243071,9.64864864864865,0.21511158750231374,0.022294478256542304,0.0293763623017676,12115.666666666666,3
limited,10,0.5,3.0,0.8,1,13.708904923860773,0.18831194544839738,13.5,0.20960682055420854,0.015526431152163539,0.0268792919826198,15084.333333333334,3
limited,10,0.6,3.0,0.8,1,21.924466562961523,0.4998013022371032,21.416666666666657,0.5077998962948639,0.02371050099431263,0.0476670290410546,18057.0,3
limited,10,0.7,3.0,0.8,1,48.597954397912225,3.2626641682437274,47.029411764705856,1.987354379827077,0.04225769162859324,0.1134151017290217,21062.0,3
limited,20,0.1,3.0,0.8,1,9.458982969119324,0.06354946178976506,9.377862595419847,0.08112037369947633,0.0086501985792685,0.0151170503369521,3057.0,3
limited,20,0.2,3.0,0.8,1,11.241883649391553,0.03678385469097927,11.223214285714286,0.023090690917197,0.0020574044413095003,0.0054231773527527,6044.0,3
limited,20,0.3,3.0,0.8,1,14.014619743277791,0.22916020814847624,13.822580645161288,0.19203909811650274,0.0138931436210305,0.032296749437756,9083.0,3
