discipline,M,rho,T,h,k,seed,num_packets,simulation_EW,theoretical_EW,absolute_error,relative_error
exhaustive,10,0.2,3.0,0.8,1,1,5993,5.2392666831245736,5.275,0.0357333168754268,0.006774088507189914
exhaustive,10,0.2,3.0,0.8,1,2,6083,5.199910747187388,5.275,0.07508925281261192,0.014234929443149177
exhaustive,10,0.2,3.0,0.8,1,3,6069,5.317520888012922,5.275,0.04252088801292153,0.008060831850790812
exhaustive,10,0.3,3.0,0.8,1,1,8992,6.166358052477802,6.185714285714285,0.019356233236482723,0.00312918320220275
exhaustive,10,0.3,3.0,0.8,1,2,9158,6.141994266639204,6.185714285714285,0.043720019075081495,0.007067901467103245
exhaustive,10,0.3,3.0,0.8,1,3,9095,6.289530225181333,6.185714285714285,0.10381593946704815,0.016783177281047047
exhaustive,10,0.4,3.0,0.8,1,1,12057,7.423582661644524,7.4,0.023582661644523384,0.0031868461681788356
exhaustive,10,0.4,3.0,0.8,1,2,12133,7.413340331943168,7.4,0.013340331943167527,0.0018027475598875035
exhaustive,10,0.4,3.0,0.8,1,3,12160,7.468793108581133,7.4,0.06879310858113286,0.009296366024477412
exhaustive,10,0.5,3.0,0.8,1,1,15074,9.182509136247827,9.100000000000001,0.08250913624782541,0.009066938049211583
exhaustive,10,0.5,3.0,0.8,1,2,15119,9.123871479054847,9.100000000000001,0.023871479054845324,0.002623239456576409
exhaustive,10,0.5,3.0,0.8,1,3,15065,9.203490030728341,9.100000000000001,0.10349003072833973,0.0113725308492681
exhaustive,10,0.6,3.0,0.8,1,1,18028,11.6439258000983,11.65,0.006074199901700439,0.0005213905495021836
exhaustive,10,0.6,3.0,0.8,1,2,18105,11.937672307663952,11.65,0.2876723076639518,0.02469290194540359
exhaustive,10,0.6,3.0,0.8,1,3,18042,11.588365976515789,11.65,0.06163402348421165,0.0052904741188164505
exhaustive,10,0.7,3.0,0.8,1,1,21068,16.055156385941235,15.899999999999999,0.15515638594123615,0.009758263266744413
exhaustive,10,0.7,3.0,0.8,1,2,21180,16.737240230713248,15.899999999999999,0.8372402307132489,0.05265661828385214
exhaustive,10,0.7,3.0,0.8,1,3,20954,15.760670410992482,15.899999999999999,0.13932958900751657,0.008762867233177143
exhaustive,20,0.1,3.0,0.8,1,1,3041,9.050888401855222,9.011111111111111,0.039777290744110516,0.0044142492810973445
exhaustive,20,0.1,3.0,0.8,1,2,3050,9.204874117966458,9.011111111111111,0.1937630068553471,0.021502676469767248
exhaustive,20,0.1,3.0,0.8,1,3,3080,9.105997965193874,9.011111111111111,0.09488685408276254,0.010529983806965017
exhaustive,20,0.2,3.0,0.8,1,1,5978,10.162426156053835,10.275,0.11257384394616565,0.010956091868239965
exhaustive,20,0.2,3.0,0.8,1,2,6082,10.321238596583648,10.275,0.04623859658364715,0.004500106723469309
exhaustive,20,0.2,3.0,0.8,1,3,6072,10.138848434509198,10.275,0.13615156549080254,0.013250760631708276
exhaustive,20,0.3,3.0,0.8,1,1,8997,11.974748429574284,11.9,0.07474842957428329,0.006281380636494394
exhaustive,20,0.3,3.0,0.8,1,2,9161,11.880440333268625,11.9,0.019559666731375103,0.0016436694732247985
exhaustive,20,0.3,3.0,0.8,1,3,9092,11.939044664084308,11.9,0.03904466408430807,0.0032810642087653837
exhaustive,20,0.4,3.0,0.8,1,1,12059,14.202732027119264,14.066666666666668,0.1360653604525961,0.009672892923170338
exhaustive,20,0.4,3.0,0.8,1,2,12130,14.299585928144268,14.066666666666668,0.23291926147759945,0.016558241337270102
exhaustive,20,0.4,3.0,0.8,1,3,12153,14.259016053649304,14.066666666666668,0.19234938698263626,0.0136741270366803
exhaustive,20,0.5,3.0,0.8,1,1,15074,17.24657435045339,17.1,0.1465743504533883,0.008571599441718612
exhaustive,20,0.5,3.0,0.8,1,2,15120,17.30501539766039,17.1,0.20501539766038945,0.011989204541543242
exhaustive,20,0.5,3.0,0.8,1,3,15069,17.00001935653606,17.1,0.09998064346394031,0.005846821255201187
